,Titles,Links,Pub_date
1,Feel Good Diary: Bubble Baths & Blogilates,https://refinery29.com/en-us/feel-good-diary-blogilates-quarantine,26-May-20
2,I Was Laid Off Due To COVID-19. My Wellness Routine Is Helping Me Cope,https://refinery29.com/en-us/feel-good-diary-coronavirus-unemployment,5/18/20
3,Feel Good Diary: How Madison Beer Practices Self-Care In The Pand...,https://refinery29.com/en-us/2020/05/9795164/madison-beer-wellness-routine,5/11/20
4,"I Make $70K A Year & Spent $2,340 On My Wellness Routine This Week",https://refinery29.com/en-us/2020/05/9776412/wellness-diary-therapy-reading-quarantine,5-May-20
5,"Matzo, Meditation, & A Birthday Dance Party: An Autism Advocate R...",https://refinery29.com/en-us/feel-good-diary-elaine-hall,4/28/20
6,Feel Good Diaries: Going to Extremes For Sustainability in Quaran...,https://refinery29.com/en-us/2020/04/9712745/eco-friendly-living-earth-day-wellness-journal,4/20/20
7,"I Live In Lynchburg, VA, Make $42K A Year, & Spent $181 On My Wel...",https://refinery29.com/en-us/feel-good-diaries-coronavirus-meditation,4/13/20
8,What I Spent On Self-Care During The Coronavirus Pandemic,https://refinery29.com/en-us/feel-good-diary-coronavirus-anxiety-self-care,4/6/20
9,"I Live In Vancouver, Canada, Make $37,242, & Spent  $235.81 On My...",https://refinery29.com/en-us/feel-good-diaries-tea-dungeons-and-dragons,3/24/20
10,"I Live In Washington D.C., Make $58K, And Spent $257.58 On My Fit...",https://refinery29.com/en-us/wellness-routine-self-care-shabbat-reading,3/12/20
11,"I Live In Washington, D.C., Make $76,500 A Year, & Spent $411 On ...",https://refinery29.com/en-us/feel-good-diary-halo-top-winery-visit,2/26/20
12,"I Live In Denver, Make $152K A Year, & Spent $1,628.23 On My Well...",https://refinery29.com/en-us/feel-good-diary-working-mom-elliptical-exfoliating-scrub,2/12/20
13,"I Live In South Carolina, Make $85,000 A Year, & Spent $455 On My...",https://refinery29.com/en-us/feel-good-diary-peloton-prosecco,1/27/20
14,"I Live in San Francisco, Make $115K a Year, and Spent $575 On My ...",https://refinery29.com/en-us/2020/01/9180335/feel-good-diary-meditation-face-mask-juice-cleanse,1/17/20
15,"I Live In Philadelphia, Make $85k A Year & Spent $173.55 On My We...",https://refinery29.com/en-us/feel-good-diary-volunteer-work-spin-class,12/2/19
16,"I Live in North Carolina, Make $70K a Year & Spent $599 on My Wel...",https://refinery29.com/en-us/feel-good-diary-massage-meal-prep-spinning,10/30/19
17,"I Live In Georgia, Make $50K A Year & Spent $334.20 On My Wellnes...",https://refinery29.com/en-us/feel-good-diary-church-spin-class-yoga,9/23/19
18,"I Live in New York, Make $85K a Year & Spent $714.62 on My Wellne...",https://refinery29.com/en-us/feel-good-diary-half-marathon-training-travel,9/9/19
19,"I Live With A Disability, Make About $15K A Year, And Spent $68.9...",https://refinery29.com/en-us/wellness-routine-disability-and-rock-climbing,8/27/19
20,"I Live in Ottawa, Make $48K a Year & Spent $378.73 on My Wellness...",https://refinery29.com/en-us/wellness-routine-bodycombat-and-fitbit,7/30/19
21,"I Live in New York, Make $58.5K a Year & Spent $918.26 on My Well...",https://refinery29.com/en-us/wellness-routine-masturbation-marathon-training,7/15/19
22,"I Live In Virginia, Make $55,000 A Year & Spent $309.96 On My Wel...",https://refinery29.com/en-us/2019/07/236405/feel-good-diaries-gratitude-journal,7/1/19
23,"I Live In New York, Make $75,000 A Year & Spent $975.95 On My Wel...",https://refinery29.com/en-us/2019/06/235867/wellness-routine-cardio-knitting,6/24/19
24,"I Live In Los Angeles, Make $75,000 A Year, & Spent $2,003 On My ...",https://refinery29.com/en-us/2019/06/235357/wellness-routine-barrys-bootcamp-smoothies,6/17/19
25,"I Live In Washington, D.C., Make $95,000 A Year & Spent $275.41 O...",https://refinery29.com/en-us/2019/06/234165/wellness-routine-anxiety-reading-running,6/10/19
26,"I Live In San Diego, Make $43,500 A Year & Spent $768.43 On My We...",https://refinery29.com/en-us/wellness-routine-jade-rolling-bootcamp,6/3/19
27,"I Live In Hawaii, Make $40,000 A Year & Spent $433.83 On My Welln...",https://refinery29.com/en-us/wellness-routine-couples-workouts,5/27/19
28,"I Live In Ohio, Make $105,000 A Year, And Spent $926.27 On My Wel...",https://refinery29.com/en-us/wellness-routine-spinning-cheat-days,5/20/19
29,Feel Good Diaries: Jillian Michaels Shares Her Wellness Routine,https://refinery29.com/en-us/wellness-routine-feel-good-diaries-jillian-michaels,5/14/19
30,"I Live In Australia, Make $17,468 A Year, And Spent $249.53 On My...",https://refinery29.com/en-us/wellness-routine-bath-bombs-burlesque-feel-good-diaries,5/9/19
31,"I'm 34, Live In San Diego & Spent $751.13 On My Wellness Routine ...",https://refinery29.com/en-us/pink-salt-ashwagandha-hiit-wellness-routine,5/6/19
